0;Никого не встретили;провели время в одиночестве;
1;Торговый караван;Торговец с нексколькими телегами товара и небольшой охраной.Можно попробовать поторговать с ними или просто ограбить их.;Купить подешевле - Продать подороже
2;Торговый караван;Торговец с нексколькими телегами товара и небольшой охраной.Можно попробовать поторговать с ними или просто ограбить их.;Продать подороже
3;Торговый караван;Торговец с нексколькими телегами товара и небольшой охраной.Можно попробовать поторговать с ними или просто ограбить их.;Купить подешевле
4;Торговый караван;Торговец с нексколькими телегами товара и небольшой охраной.Можно попробовать поторговать с ними или просто ограбить их.;
5;Отряд армии;Несколько солдат из армии местного короля. Опытные солдаты могут поделиться своим опытом, либо они захотят отнять ваши вещи.;Хотят вас ограбить
6;Отряд армии;Несколько солдат из армии местного короля. Опытные солдаты могут поделиться своим опытом, либо они захотят отнять ваши вещи.;Могут научить вас полезным приемам
7;Отряд армии;Несколько солдат из армии местного короля. Опытные солдаты могут поделиться своим опытом, либо они захотят отнять ваши вещи.;
8;Наемник;Бывший солдат, который теперь служит тому, кто заплатит. Либо служит себе и грабит тех, кто не может за себя постоять.;Можно нанять - Можно научиться
9;Наемник;Бывший солдат, который теперь служит тому, кто заплатит. Либо служит себе и грабит тех, кто не может за себя постоять.;Хочет вас ограбить
10;Наемник;Бывший солдат, который теперь служит тому, кто заплатит. Либо служит себе и грабит тех, кто не может за себя постоять.;Хочет вас убить и ограбить
11;Наемник;Бывший солдат, который теперь служит тому, кто заплатит. Либо служит себе и грабит тех, кто не может за себя постоять.;Можно нанять
12;Наемник;Бывший солдат, который теперь служит тому, кто заплатит. Либо служит себе и грабит тех, кто не может за себя постоять.;Можно поучиться у него
13;Наемник;Бывший солдат, который теперь служит тому, кто заплатит. Либо служит себе и грабит тех, кто не может за себя постоять.;
14;Ремесленник;Живет в городе и зарабатывает себе на жизнь ремеслом. Можно попробовать выторговать у него полезный инструмент дешевле чем на рынке.;Продает по дешевке
15;Ремесленник;Живет в городе и зарабатывает себе на жизнь ремеслом. Можно попробовать выторговать у него полезный инструмент дешевле чем на рынке.;Просит вас защитить его
16;Ремесленник;Живет в городе и зарабатывает себе на жизнь ремеслом. Можно попробовать выторговать у него полезный инструмент дешевле чем на рынке.;Просит вас помочь ему
17;Ремесленник;Живет в городе и зарабатывает себе на жизнь ремеслом. Можно попробовать выторговать у него полезный инструмент дешевле чем на рынке.;
18;Селялин;Живет в деревне или на хуторе. Работает в земле и иногда ходит в город чтобы продать овощи и купить домой пару вещей.;Просит вас защитить его
19;Селялин;Живет в деревне или на хуторе. Работает в земле и иногда ходит в город чтобы продать овощи и купить домой пару вещей.;Просит вас помочь ему
20;Селялин;Живет в деревне или на хуторе. Работает в земле и иногда ходит в город чтобы продать овощи и купить домой пару вещей.;
21;Торговый караван на который напали разбойники;На дороге разбойники напали на торговый корован. Можно вмешаться или попытать убежать;Вмешаться
22;Бой между отрядом армии и отрядом разбойников;Королевские солдаты настигли банду и пытаются ее перебить;Вмешаться - дождаться конца и обобрать трупы
23;Отряд разбойников;Рабзоники грабят торговые караваны и одиноких путников. Добра от них не стоит ждать, но иногда с ними даже можно поторговаться.;Хотят вас убить
24;Отряд разбойников;Рабзоники грабят торговые караваны и одиноких путников. Добра от них не стоит ждать, но иногда с ними даже можно поторговаться.;Хотят вас ограбить
25;Отряд разбойников;Рабзоники грабят торговые караваны и одиноких путников. Добра от них не стоит ждать, но иногда с ними даже можно поторговаться.;Можно купить у них по дешовке
26;Дикое животное;Заяц Заяц заяц Волк Волк Медвеь;Убегает
27;разбойник;Вас настиг одинокий разбойник;хочет ограбить
28;разбойник;Вас настиг одинокий разбойник;хочет убить
